complaint_id,forum,date,rating,complaint_type,category,complaint_text,url
1,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,"Four people paid the amount through Blinkit QR, but the system showed that the amount was taken as cash and deducted from my pocket balance. Kindly please help and refund my amount. 1st order ID 235628**** (amount 310), 2nd order ID 235593**** (amount 354), 3rd order ID 235527**** (amount 367). Please help and refund my amount.",https://blinkit.pissedconsumer.com/review.html
2,PissedConsumer (consumer-complaint forum),7/12/2026,,refund_and_support,general,"On 29 June, I purchased a bag and a bottle from Blinkit. The bottle arrived damaged and was returned, with the delivery partner collecting it on 1 July at around 8:00 p.m. Instead of refunding my payment, Blinkit insisted on issuing only a promo code. Even that was generated only after I repeatedly followed up and was finally issued on 9 July. On 12 July, when I tried to use the promo code, the app provided no option to redeem it. Blinkit also refused to refund my money or allow someone else to use the code. I have neither the product nor my refund.",https://blinkit.pissedconsumer.com/review.html
3,PissedConsumer (consumer-complaint forum),5/10/2026,,product_quality,general,We received a damaged packaged pack of Choco Pie. Very poor service and very embarassing to carry as a gift. I was jammed to give it away without an option.,https://blinkit.pissedconsumer.com/review.html
4,PissedConsumer (consumer-complaint forum),4/19/2026,,refund_and_support,pet,"I ordered a box of tuna Whiskas, which had gone bad and smelled terrible after I opened it to feed my cat. Blinkit customer care isn't resolving the problem properly.",https://blinkit.pissedconsumer.com/review.html
5,PissedConsumer (consumer-complaint forum),6/3/2026,,refund_and_support,general,I charged twice one with Upi and my sister give cash to your guy so just got noticed it was charged twice. I need to talk to someone or refund the amount back to me,https://blinkit.pissedconsumer.com/review.html
6,PissedConsumer (consumer-complaint forum),3/13/2026,,other,general,"Updated by user Mar 28, 2026",https://blinkit.pissedconsumer.com/review.html
7,PissedConsumer (consumer-complaint forum),4/22/2026,,refund_and_support,general,My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account My refund is not initiated Please my refund is back to my account,https://blinkit.pissedconsumer.com/review.html
8,PissedConsumer (consumer-complaint forum),4/22/2026,,refund_and_support,general,My order is rutuned but my money cannot be refund I was your regular customer kindly help me with this product,https://blinkit.pissedconsumer.com/review.html
9,PissedConsumer (consumer-complaint forum),4/3/2026,,refund_and_support,general,"I ordered the goods. I made the payment online, but the blanket seller canceled it himself. The refund was supposed to be on April 3rd. Please return my money.",https://blinkit.pissedconsumer.com/review.html
10,PissedConsumer (consumer-complaint forum),3/21/2026,,wrong_or_missing_item,general,My order is not delivered and payment also done Na order Mila or na payment received hua Return my money,https://blinkit.pissedconsumer.com/review.html
11,PissedConsumer (consumer-complaint forum),7/5/2026,,refund_and_support,general,Dr choice ords in popit please Please return my order or give me my money back. Please reply to me as soon as possible.,https://blinkit.pissedconsumer.com/review.html
12,PissedConsumer (consumer-complaint forum),3/16/2026,,other,general,"My account isn't starting, and no one is responding. Your Blinkit people aren't responding and not talking properly.",https://blinkit.pissedconsumer.com/review.html
13,PissedConsumer (consumer-complaint forum),6/23/2026,,product_quality,electronics,My product is not original product Wrong copy product I he not proper working i wont return this product 65 w fake charge pls help 7 day return policy Original and duplicate charger both photo attach this mail ORDER no ORD0343432**** Pls return this product,https://blinkit.pissedconsumer.com/review.html
14,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,"In the middle of the conversation, your Nanganalur, Chennai, disconnected my call. So, my issue is not solved.",https://blinkit.pissedconsumer.com/review.html
15,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,Amount I lost without OTP material delivered. Bill not received. To whom should I make a complaint? Call me immediately on my phone: 919035****35.,https://blinkit.pissedconsumer.com/review.html
16,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,No response order delivered but bill not received tamato delivered more than order no body attending our place without otp material delivered huge amount received immediately call my number 903564****,https://blinkit.pissedconsumer.com/review.html
17,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,I did not get my refund money back. Worst app management till date. They said that on 15 July it was expected. They said I did not get my refund.,https://blinkit.pissedconsumer.com/review.html?page=2
18,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,My name is Raj. And I have ordered for a light which is of 12 different colors but only one light is working out of 12 . I want to return it.,https://blinkit.pissedconsumer.com/review.html?page=2
19,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,Recived damaged and used product and today i have orderd a dove shampo 650ml and i recived damaged shampo bottle give my refund or take this bottle and give me h new bottle of shampo,https://blinkit.pissedconsumer.com/review.html?page=2
20,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,"I has ordered a bunch of roses and one mason jar candle on 15th July in two separate orders. Both payments were made. Both orders were shown as delivered; however, the roses did not reach, only the candles reached. Since it showed delivered, I did not check with the recipient as it was to be a surprise. But when I checked today, she told me she had not received it.",https://blinkit.pissedconsumer.com/review.html?page=2
21,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,I have ordered for a light which is of 12 different colors but only one light is working that is red.,https://blinkit.pissedconsumer.com/review.html?page=2
22,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,I have ordered a lighting port cable from blinkit While ordering i choose the Cash on dilivary option But i had the money so i paid for the product through online But the partner said the money was not paid so i have paid the money for the product once again I am requesting you return the money i have paid extra,https://blinkit.pissedconsumer.com/review.html?page=2
23,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,Please call me its pathetic product that i have recived the product is fake i have call u guys but there is no response,https://blinkit.pissedconsumer.com/review.html?page=2
24,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,I ordered a Bluetooth speaker And the product is not working I try many times to customer helpline but they dont give any response,https://blinkit.pissedconsumer.com/review.html?page=2
25,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,I am not happy with the service of not receiving the product when the invoice is received. My product warranty is not available.,https://blinkit.pissedconsumer.com/review.html?page=2
